,city_name,cloudiness,country,date,humidity,lat,lng,max_temp,wind_speed
480,Columbus,100,US,1563136621,43,32.46,-84.99,95.0,4.7
481,Ortakoy,75,TR,1563136621,72,38.74,34.04,68.0,5.82
482,Lasem,94,ID,1563136622,91,-6.99,112.52,67.3,3.53
483,Visnes,40,NO,1563136622,81,59.36,5.22,52.0,20.8
484,Kimbe,93,PG,1563136622,94,-5.56,150.15,74.14,0.27
485,Tupelo,90,US,1563136405,94,34.26,-88.7,73.99,1.32
486,Port Blair,100,IN,1563136622,78,11.67,92.75,84.22,22.53
487,Elko,1,US,1563136463,14,40.83,-115.76,91.0,3.36
488,Jakar,86,BT,1563136623,94,27.55,90.75,47.14,2.15
489,Inuvik,75,CA,1563136623,49,68.36,-133.71,69.8,11.41
490,Catalina,90,PE,1563136624,30,-13.57,-76.13,71.6,9.17
491,Mitu,0,IR,1563136624,39,36.2,46.09,59.02,2.8
492,Motygino,0,RU,1563136625,71,58.18,94.69,55.6,8.41
493,Bahia Honda,0,CU,1563136625,78,22.9,-83.16,84.04,24.43
494,Larnaca,0,CY,1563136625,65,34.92,33.64,78.8,4.7
495,Huilong,100,CN,1563136625,86,31.15,106.5,74.5,2.08
496,Adrar,0,DZ,1563136625,7,27.87,-0.29,107.6,4.7
497,Dwarka,75,IN,1563136626,69,28.58,77.04,93.99,10.29
498,Ihosy,5,MG,1563136626,92,-22.4,46.13,51.28,11.74
499,Arman,87,RU,1563136626,65,59.7,150.17,59.56,4.41
500,Concordia,0,AR,1563136627,73,-31.4,-58.02,53.98,5.91
501,Mizdah,0,LY,1563136627,19,31.45,12.98,89.26,13.02
502,Port Moresby,90,PG,1563136627,100,-9.47,147.16,73.4,11.41
503,Sovetskiy,0,RU,1563136627,90,56.76,48.47,55.96,3.13
504,Rocha,0,UY,1563136627,92,-34.48,-54.34,44.8,4.29
505,Manyana,0,AU,1563136628,57,-35.26,150.51,54.0,18.34
506,Inhambane,0,MZ,1563136628,88,-23.87,35.38,62.6,4.03
507,Manaure,40,CO,1563136628,44,11.78,-72.45,96.8,20.8
508,Cortez,1,US,1563136359,27,37.35,-108.58,87.01,8.05
509,Roquetas de Mar,0,ES,1563136629,73,36.76,-2.61,73.99,3.36
510,Thunder Bay,75,CA,1563136629,51,48.41,-89.26,82.4,12.75
511,Mildura,75,AU,1563136376,100,-34.18,142.16,48.99,6.93
512,Mokobeng,0,BW,1563136493,40,-23.0,27.67,54.7,5.08
513,Alghero,0,IT,1563136409,83,40.56,8.32,78.8,8.05
514,Ankazoabo,0,MG,1563136629,61,-22.29,44.51,57.22,2.48
515,Cervo,0,BR,1563136630,35,-22.19,-46.24,71.6,2.06
516,Tsogni,100,GA,1563136630,89,-2.79,10.1,71.8,9.71
517,Hachinohe,90,JP,1563136630,100,40.47,141.48,66.99,8.05
518,Shelburne,1,CA,1563136630,53,44.08,-80.2,82.0,12.75
519,Fort Wellington,13,GY,1563136631,66,6.4,-57.6,83.14,5.64
520,Monteagudo,90,BO,1563136631,82,-19.8,-63.96,62.6,3.56
521,Troitsko-Pechorsk,100,RU,1563136631,97,62.71,56.19,57.22,7.36
522,Coquimbo,0,CL,1563136631,51,-29.95,-71.34,72.0,11.41
523,Teknaf,73,BD,1563136632,82,20.86,92.31,83.5,7.31
524,Ixtapa,75,MX,1563136632,62,20.71,-105.21,87.01,9.17
525,Arona,40,IT,1563136632,47,45.76,8.56,77.0,3.36
526,Necochea,100,AR,1563136633,72,-38.55,-58.74,53.01,3.0
527,Curaca,4,BR,1563136458,49,-8.99,-39.91,80.08,6.91
528,Bantou,100,CN,1563136633,96,26.22,117.49,70.36,0.69
529,Kampene,0,CD,1563136633,62,-3.59,26.67,73.24,2.01
530,Cedar City,1,US,1563136620,15,37.68,-113.06,93.2,11.41
531,Shingu,79,JP,1563136634,98,33.72,135.99,68.38,2.75
532,Matara,19,BI,1563136439,85,-3.48,29.48,51.46,1.23
533,Haines Junction,22,CA,1563136634,41,60.75,-137.51,64.24,8.97
534,Goure,45,NE,1563136635,27,13.98,10.27,94.12,5.06
535,Seymchan,0,RU,1563136635,40,62.93,152.39,77.2,8.08
536,Rincon,40,PA,1563136635,78,8.46,-82.28,82.4,14.99
537,Acapulco,40,MX,1563136143,70,16.86,-99.88,86.0,8.05
538,Srikakulam,91,IN,1563136635,69,18.29,83.89,82.24,3.49
539,Palana,33,RU,1563136636,86,59.08,159.95,51.82,25.43
540,Harper,40,US,1563136472,44,30.3,-99.24,98.01,9.01
541,Glinka,100,RU,1563136636,78,54.64,32.87,53.8,2.44
542,Sorland,75,NO,1563136434,81,67.67,12.69,50.0,5.82
543,Albanel,40,CA,1563136637,53,48.88,-72.44,72.0,18.34
544,Clarence Town,40,AU,1563136637,62,-32.59,151.78,54.0,23.04
545,Verkhnevilyuysk,48,RU,1563136637,72,63.45,120.31,62.44,6.82
546,Hokitika,40,NZ,1563136638,76,-42.72,170.96,45.7,4.65
547,Flin Flon,75,CA,1563136638,56,54.77,-101.88,73.4,6.93
548,Sangar,62,RU,1563136638,63,63.92,127.47,61.72,11.56
549,Jamame,77,SO,1563136638,74,0.07,42.75,77.02,9.31
550,Tahe,99,CN,1563136639,92,52.34,124.71,60.46,1.03
551,Popondetta,100,PG,1563136639,78,-8.77,148.24,66.22,2.55
552,Turayf,0,SA,1563136639,20,31.68,38.65,82.4,4.7
553,Ondjiva,0,AO,1563136639,19,-17.07,15.73,59.38,6.73
554,Kayes,1,ML,1563136640,45,14.44,-11.44,92.32,6.42
